,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
12214,227876,L. Campana,25,https://cdn.sofifa.org/players/4/19/227876.png,Argentina,https://cdn.sofifa.org/flags/52.png,63,66,Club Deportes Temuco,https://cdn.sofifa.org/teams/2/light/112709.png,€475K,€1K,1485,Right,1,2,2,Medium/ Medium,Normal,No,ST,8,"Jul 1, 2017",,2018,5'11,165lbs,62+2,62+2,62+2,54+2,57+2,57+2,57+2,54+2,53+2,53+2,53+2,53+2,48+2,48+2,48+2,53+2,42+2,40+2,40+2,40+2,42+2,41+2,40+2,40+2,40+2,41+2,37,66,71,49,54,48,42,34,34,57,65,66,61,58,58,69,63,62,73,58,38,31,61,46,59,45,23,23,19,13,11,15,14,7,€677K
12215,233508,B. Miranda,20,https://cdn.sofifa.org/players/4/19/233508.png,Bolivia,https://cdn.sofifa.org/flags/53.png,63,73,DC United,https://cdn.sofifa.org/teams/2/light/688.png,€600K,€1K,1401,Right,1,3,2,Medium/ Medium,Lean,No,ST,11,"Jul 1, 2018",,2018,5'11,146lbs,61+2,61+2,61+2,58+2,60+2,60+2,60+2,58+2,56+2,56+2,56+2,54+2,45+2,45+2,45+2,54+2,38+2,34+2,34+2,34+2,38+2,37+2,34+2,34+2,34+2,37+2,28,66,56,43,46,57,48,33,33,60,79,82,84,62,50,64,57,35,60,50,28,16,64,47,52,54,23,17,18,5,7,6,12,13,€1M
12225,226855,D. Franco,26,https://cdn.sofifa.org/players/4/19/226855.png,Argentina,https://cdn.sofifa.org/flags/52.png,63,65,Curicó Unido,https://cdn.sofifa.org/teams/2/light/112655.png,€375K,€1K,1310,Right,1,2,2,Medium/ Medium,Normal,No,LCB,15,"Jan 14, 2018",,2023,6'0,154lbs,40+2,40+2,40+2,36+2,37+2,37+2,37+2,36+2,35+2,35+2,35+2,37+2,39+2,39+2,39+2,37+2,51+2,52+2,52+2,52+2,51+2,54+2,61+2,61+2,61+2,54+2,24,24,57,35,27,27,23,28,32,44,58,54,43,65,49,36,68,60,80,24,63,57,25,29,35,53,65,65,63,12,10,7,7,14,€534K
12227,238375,J. Sagredo,24,https://cdn.sofifa.org/players/4/19/238375.png,Bolivia,https://cdn.sofifa.org/flags/53.png,63,70,,https://cdn.sofifa.org/flags/53.png,€0,€0,1502,Left,1,2,2,Medium/ Medium,Normal,No,LB,22,,,,5'10,163lbs,47+2,47+2,47+2,52+2,49+2,49+2,49+2,52+2,50+2,50+2,50+2,54+2,51+2,51+2,51+2,54+2,61+2,57+2,57+2,57+2,61+2,61+2,59+2,59+2,59+2,61+2,60,30,57,58,26,56,32,31,53,47,75,71,71,58,67,28,57,70,54,28,53,61,50,37,37,49,69,58,61,13,10,7,5,12,
12238,214571,J. Escobar,30,https://cdn.sofifa.org/players/4/19/214571.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,63,Jaguares de Córdoba,https://cdn.sofifa.org/teams/2/light/112903.png,€240K,€1K,1045,Right,1,3,1,Medium/ Medium,Lean,No,GK,1,"Jul 3, 2018",,2023,6'3,174lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,19,11,16,22,12,15,17,15,20,21,40,43,32,62,49,18,56,34,65,20,24,21,13,28,23,40,12,16,11,62,63,59,64,62,€324K
12247,219949,N. Pantaleone,25,https://cdn.sofifa.org/players/4/19/219949.png,Argentina,https://cdn.sofifa.org/flags/52.png,63,68,Patronato,https://cdn.sofifa.org/teams/2/light/110581.png,€400K,€3K,1484,Left,1,3,2,Medium/ Medium,Normal,No,LB,25,"Jul 23, 2018",,2023,5'10,170lbs,47+2,47+2,47+2,52+2,49+2,49+2,49+2,52+2,49+2,49+2,49+2,52+2,49+2,49+2,49+2,52+2,60+2,56+2,56+2,56+2,60+2,61+2,61+2,61+2,61+2,61+2,57,29,54,56,36,58,33,35,28,59,65,65,61,57,65,32,55,60,61,34,55,59,44,38,40,47,65,66,68,8,14,6,14,7,€610K
12254,224814,R. Moreira,21,https://cdn.sofifa.org/players/4/19/224814.png,Argentina,https://cdn.sofifa.org/flags/52.png,63,76,San Martin de Tucumán,https://cdn.sofifa.org/teams/2/light/111714.png,€625K,€2K,1386,Right,1,3,2,Low/ Medium,Normal,No,LCB,4,"Jul 23, 2018",,2020,6'2,201lbs,44+2,44+2,44+2,39+2,40+2,40+2,40+2,39+2,40+2,40+2,40+2,42+2,46+2,46+2,46+2,42+2,53+2,57+2,57+2,57+2,53+2,55+2,62+2,62+2,62+2,55+2,29,22,64,53,27,32,33,34,46,50,47,54,42,55,45,48,41,71,92,27,60,62,34,30,48,56,55,65,60,9,15,10,11,15,€1.3M
12257,192046,L. Olascoaga,26,https://cdn.sofifa.org/players/4/19/192046.png,Mexico,https://cdn.sofifa.org/flags/83.png,63,64,Lobos BUAP,https://cdn.sofifa.org/teams/2/light/111035.png,€350K,€2K,1699,Left,1,1,3,Medium/ Medium,Lean,No,RB,27,"Jul 1, 2016",,2020,5'5,123lbs,57+2,57+2,57+2,63+2,60+2,60+2,60+2,63+2,61+2,61+2,61+2,63+2,59+2,59+2,59+2,63+2,62+2,56+2,56+2,56+2,62+2,62+2,54+2,54+2,54+2,62+2,60,42,57,64,52,70,61,41,58,70,79,82,86,56,89,51,56,64,37,47,21,50,58,47,60,54,55,63,62,13,16,13,11,8,€604K
12260,227375,J. Palacios,26,https://cdn.sofifa.org/players/4/19/227375.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,64,Patriotas Boyacá FC,https://cdn.sofifa.org/teams/2/light/112527.png,€450K,€1K,1568,Right,1,3,3,Medium/ Medium,Lean,No,ST,11,"Jan 17, 2018",,2023,5'10,161lbs,61+2,61+2,61+2,60+2,61+2,61+2,61+2,60+2,60+2,60+2,60+2,59+2,54+2,54+2,54+2,59+2,44+2,44+2,44+2,44+2,44+2,42+2,40+2,40+2,40+2,42+2,42,65,48,56,55,63,61,51,53,63,68,65,69,61,72,61,59,52,66,54,29,19,68,54,63,53,59,19,19,8,10,15,13,8,€641K
12261,243760,M. Martínez,26,https://cdn.sofifa.org/players/4/19/243760.png,Argentina,https://cdn.sofifa.org/flags/52.png,63,66,San Martin de Tucumán,https://cdn.sofifa.org/teams/2/light/111714.png,€375K,€2K,1525,Left,1,3,2,Medium/ Medium,Normal,No,LB,3,"Sep 14, 2017",,2021,5'10,152lbs,49+2,49+2,49+2,54+2,52+2,52+2,52+2,54+2,52+2,52+2,52+2,55+2,53+2,53+2,53+2,55+2,61+2,58+2,58+2,58+2,61+2,62+2,62+2,62+2,62+2,62+2,51,31,53,61,34,63,35,40,35,62,64,56,54,59,69,27,65,63,51,30,60,61,64,34,44,58,63,72,71,8,14,12,13,6,€572K
12262,221489,J. Flores,21,https://cdn.sofifa.org/players/4/19/221489.png,Chile,https://cdn.sofifa.org/flags/55.png,63,73,CD Antofagasta,https://cdn.sofifa.org/teams/2/light/112533.png,€600K,€1K,1545,Right,1,3,2,High/ Medium,Normal,No,LW,16,,Unión Española,"Dec 31, 2018",5'6,132lbs,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,60+2,60+2,60+2,62+2,53+2,53+2,53+2,62+2,47+2,40+2,40+2,40+2,47+2,43+2,33+2,33+2,33+2,43+2,62,63,51,55,41,71,57,38,52,59,74,76,80,60,90,61,65,63,31,45,27,25,62,53,65,58,37,12,13,13,10,11,7,16,
12269,221235,A. Mosquera,26,https://cdn.sofifa.org/players/4/19/221235.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,67,Independiente Medellín,https://cdn.sofifa.org/teams/2/light/101103.png,€325K,€1K,1066,Right,1,2,1,Medium/ Medium,Normal,No,GK,12,"Dec 12, 2017",,2019,6'1,172lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,11,37,13,14,19,15,24,17,45,42,35,57,58,25,66,33,58,13,15,16,15,28,25,43,22,13,12,67,56,58,62,65,€463K
12275,214325,J. Gómez,30,https://cdn.sofifa.org/players/4/19/214325.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,63,Boyacá Chicó FC,https://cdn.sofifa.org/teams/2/light/112019.png,€270K,€1K,1820,Right,1,3,2,Medium/ Medium,Normal,No,RCM,20,"Jul 3, 2018",,2023,5'8,154lbs,59+2,59+2,59+2,62+2,61+2,61+2,61+2,62+2,61+2,61+2,61+2,63+2,61+2,61+2,61+2,63+2,65+2,62+2,62+2,62+2,65+2,64+2,61+2,61+2,61+2,64+2,63,42,53,62,40,64,58,60,54,58,75,74,74,65,75,69,73,83,61,67,68,62,67,58,49,65,59,62,63,14,8,12,14,14,€365K
12289,214072,F. Salinas,36,https://cdn.sofifa.org/players/4/19/214072.png,Chile,https://cdn.sofifa.org/flags/55.png,63,63,Unión La Calera,https://cdn.sofifa.org/teams/2/light/112535.png,€50K,€1K,1328,Right,1,3,2,Medium/ Medium,Normal,No,CB,4,"Jan 1, 2018",,2023,6'2,185lbs,41+2,41+2,41+2,34+2,36+2,36+2,36+2,34+2,36+2,36+2,36+2,36+2,43+2,43+2,43+2,36+2,49+2,55+2,55+2,55+2,49+2,53+2,62+2,62+2,62+2,53+2,21,24,65,46,27,24,24,22,46,49,38,41,51,50,53,53,73,65,78,24,62,55,26,29,33,67,64,67,63,9,12,11,12,11,€68K
12301,221244,J. Ramos,25,https://cdn.sofifa.org/players/4/19/221244.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,64,Deportes Tolima,https://cdn.sofifa.org/teams/2/light/111722.png,€450K,€1K,1612,Right,1,3,3,Medium/ Medium,Normal,No,RM,9,"Jul 11, 2018",,2023,6'0,176lbs,63+2,63+2,63+2,62+2,62+2,62+2,62+2,62+2,60+2,60+2,60+2,62+2,55+2,55+2,55+2,62+2,49+2,45+2,45+2,45+2,49+2,46+2,43+2,43+2,43+2,46+2,54,60,66,56,56,65,51,46,45,63,69,76,73,62,53,60,81,76,78,52,35,33,64,58,58,63,28,24,16,10,10,11,11,12,€664K
12303,242492,J. Medina,23,https://cdn.sofifa.org/players/4/19/242492.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,70,Real Zaragoza,https://cdn.sofifa.org/teams/2/light/244.png,€525K,€1K,1575,Right,1,3,2,High/ Low,Lean,No,RM,7,,Itagüí Leones FC,"Jun 30, 2019",5'11,163lbs,59+2,59+2,59+2,62+2,61+2,61+2,61+2,62+2,61+2,61+2,61+2,61+2,56+2,56+2,56+2,61+2,49+2,47+2,47+2,47+2,49+2,47+2,41+2,41+2,41+2,47+2,55,62,41,63,52,60,56,45,58,62,76,73,75,61,65,62,53,57,55,54,45,24,58,57,49,59,48,26,31,9,12,12,11,8,
12314,196159,E. González,36,https://cdn.sofifa.org/players/4/19/196159.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,63,Jaguares de Córdoba,https://cdn.sofifa.org/teams/2/light/112903.png,€40K,€1K,1574,Left,1,3,2,Medium/ Medium,Lean,No,LB,5,"Jan 1, 2017",,2022,5'9,152lbs,48+2,48+2,48+2,55+2,52+2,52+2,52+2,55+2,54+2,54+2,54+2,57+2,56+2,56+2,56+2,57+2,61+2,62+2,62+2,62+2,61+2,61+2,63+2,63+2,63+2,61+2,65,34,57,64,23,61,28,57,58,65,52,56,61,59,77,22,71,55,64,23,72,62,51,47,36,62,63,64,66,8,9,12,16,16,€54K
12328,208196,M. Aceval,35,https://cdn.sofifa.org/players/4/19/208196.png,Chile,https://cdn.sofifa.org/flags/55.png,63,63,Club Deportes Temuco,https://cdn.sofifa.org/teams/2/light/112709.png,€80K,€1K,1672,Left,1,3,2,Medium/ Medium,Stocky,No,LB,24,"May 19, 2015",,2018,6'0,194lbs,54+2,54+2,54+2,52+2,53+2,53+2,53+2,52+2,53+2,53+2,53+2,54+2,58+2,58+2,58+2,54+2,62+2,65+2,65+2,65+2,62+2,62+2,65+2,65+2,65+2,62+2,64,39,60,68,29,51,68,74,60,68,41,37,31,73,36,77,70,65,77,60,62,66,35,38,75,45,65,65,62,7,9,16,12,12,€108K
12342,227143,D. Gómez,26,https://cdn.sofifa.org/players/4/19/227143.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,63,Rionegro Águilas,https://cdn.sofifa.org/teams/2/light/112578.png,€400K,€1K,1555,Right,1,2,3,Medium/ Medium,Normal,No,RM,15,"Jan 1, 2017",,2023,5'9,154lbs,59+2,59+2,59+2,63+2,62+2,62+2,62+2,63+2,63+2,63+2,63+2,62+2,57+2,57+2,57+2,62+2,49+2,48+2,48+2,48+2,49+2,48+2,44+2,44+2,44+2,48+2,55,60,44,61,49,67,43,37,58,65,71,71,73,59,75,53,70,41,51,51,42,31,64,65,40,54,46,36,33,9,9,8,10,8,€540K
12344,239943,C. González,26,https://cdn.sofifa.org/players/4/19/239943.png,Mexico,https://cdn.sofifa.org/flags/83.png,63,65,Club León,https://cdn.sofifa.org/teams/2/light/110781.png,€450K,€6K,1519,Right,1,4,2,Medium/ Medium,Normal,No,ST,31,"Jul 1, 2017",,2021,5'10,165lbs,61+2,61+2,61+2,57+2,58+2,58+2,58+2,57+2,56+2,56+2,56+2,54+2,49+2,49+2,49+2,54+2,40+2,40+2,40+2,40+2,40+2,39+2,40+2,40+2,40+2,39+2,41,67,67,47,50,61,44,40,40,63,60,59,59,60,70,63,69,53,75,68,60,20,51,51,67,50,24,19,18,14,10,10,13,6,€799K
12346,215112,R. Contreras,22,https://cdn.sofifa.org/players/4/19/215112.png,Argentina,https://cdn.sofifa.org/flags/52.png,63,71,CD Antofagasta,https://cdn.sofifa.org/teams/2/light/112533.png,€550K,€1K,1524,Left,1,3,2,Medium/ Medium,Normal,No,ST,27,"Feb 7, 2018",,2018,6'1,185lbs,62+2,62+2,62+2,58+2,60+2,60+2,60+2,58+2,58+2,58+2,58+2,56+2,53+2,53+2,53+2,56+2,45+2,44+2,44+2,44+2,45+2,43+2,42+2,42+2,42+2,43+2,34,64,55,54,48,58,45,36,42,59,62,64,65,59,63,63,60,69,80,64,35,36,71,51,43,54,32,25,21,16,14,14,8,14,€853K
12352,214345,D. Valencia,27,https://cdn.sofifa.org/players/4/19/214345.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,64,Alianza Petrolera,https://cdn.sofifa.org/teams/2/light/112579.png,€350K,€1K,1365,Right,1,3,2,Medium/ Medium,Normal,No,CB,5,"Jan 1, 2013",,2023,6'2,183lbs,40+2,40+2,40+2,37+2,37+2,37+2,37+2,37+2,38+2,38+2,38+2,39+2,43+2,43+2,43+2,39+2,51+2,54+2,54+2,54+2,51+2,54+2,62+2,62+2,62+2,54+2,29,24,68,49,23,28,29,30,42,37,50,53,54,58,55,32,71,55,77,23,64,67,29,35,35,48,59,62,57,15,13,15,12,15,€499K
12353,228681,F. Sierralta,21,https://cdn.sofifa.org/players/4/19/228681.png,Chile,https://cdn.sofifa.org/flags/55.png,63,77,Parma,https://cdn.sofifa.org/teams/2/light/50.png,€725K,€3K,1426,Right,1,3,2,Medium/ High,Lean,No,RB,13,,Udinese,"Jun 30, 2019",6'3,183lbs,45+2,45+2,45+2,46+2,44+2,44+2,44+2,46+2,45+2,45+2,45+2,48+2,47+2,47+2,47+2,48+2,60+2,58+2,58+2,58+2,60+2,61+2,66+2,66+2,66+2,61+2,57,30,67,60,23,46,23,28,30,61,54,55,51,54,34,38,76,58,86,25,59,67,23,33,40,52,65,66,66,12,10,9,7,13,
12354,233033,M. Minetti,29,https://cdn.sofifa.org/players/4/19/233033.png,Argentina,https://cdn.sofifa.org/flags/52.png,63,63,Patronato,https://cdn.sofifa.org/teams/2/light/110581.png,€290K,€3K,1500,Right,1,3,2,Medium/ Medium,Normal,No,CDM,5,"Jul 1, 2011",,2019,6'1,181lbs,51+2,51+2,51+2,49+2,51+2,51+2,51+2,49+2,52+2,52+2,52+2,52+2,56+2,56+2,56+2,52+2,57+2,61+2,61+2,61+2,57+2,58+2,64+2,64+2,64+2,58+2,30,37,72,61,24,53,26,18,56,60,48,51,55,54,55,44,72,72,76,24,68,68,55,48,34,57,56,65,60,12,9,14,13,10,€421K
12358,239946,J. Valadez,22,https://cdn.sofifa.org/players/4/19/239946.png,Mexico,https://cdn.sofifa.org/flags/83.png,63,67,Monarcas Morelia,https://cdn.sofifa.org/teams/2/light/1028.png,€400K,€2K,1408,Right,1,2,2,Medium/ Medium,Normal,No,CB,4,"Jul 1, 2017",,2018,5'10,168lbs,47+2,47+2,47+2,45+2,46+2,46+2,46+2,45+2,46+2,46+2,46+2,47+2,50+2,50+2,50+2,47+2,55+2,57+2,57+2,57+2,55+2,57+2,62+2,62+2,62+2,57+2,37,34,67,63,29,51,35,27,50,54,50,44,31,59,62,45,68,40,61,38,50,66,37,30,48,49,55,69,68,7,8,11,7,7,€710K
12366,216396,R. González,23,https://cdn.sofifa.org/players/4/19/216396.png,Mexico,https://cdn.sofifa.org/flags/83.png,63,73,U.N.A.M.,https://cdn.sofifa.org/teams/2/light/1881.png,€525K,€3K,1415,Right,1,2,2,Medium/ High,Normal,No,CB,21,"Jan 1, 2017",,2023,6'0,165lbs,43+2,43+2,43+2,39+2,40+2,40+2,40+2,39+2,40+2,40+2,40+2,42+2,43+2,43+2,43+2,42+2,53+2,55+2,55+2,55+2,53+2,56+2,62+2,62+2,62+2,56+2,28,27,65,50,53,35,30,25,44,40,67,64,37,53,62,43,67,55,64,29,63,64,28,32,44,50,65,67,62,6,12,12,16,6,€998K
12372,221007,G. Hauche,25,https://cdn.sofifa.org/players/4/19/221007.png,Argentina,https://cdn.sofifa.org/flags/52.png,63,68,New England Revolution,https://cdn.sofifa.org/teams/2/light/691.png,€500K,€2K,1512,Right,1,4,3,Medium/ Low,Normal,No,CAM,22,"Sep 13, 2018",,2023,5'11,163lbs,63+2,63+2,63+2,61+2,62+2,62+2,62+2,61+2,61+2,61+2,61+2,61+2,57+2,57+2,57+2,61+2,44+2,43+2,43+2,43+2,44+2,41+2,35+2,35+2,35+2,41+2,42,70,57,67,46,67,43,34,64,65,67,67,65,57,67,63,58,71,59,55,29,16,61,46,67,59,23,17,18,10,10,16,6,9,€763K
12373,232527,D. Schmidt,25,https://cdn.sofifa.org/players/4/19/232527.png,Argentina,https://cdn.sofifa.org/flags/52.png,63,68,San Martin de Tucumán,https://cdn.sofifa.org/teams/2/light/111714.png,€425K,€2K,1483,Right,1,2,2,Medium/ High,Lean,No,CB,21,"Jul 23, 2018",,2021,6'0,181lbs,49+2,49+2,49+2,46+2,46+2,46+2,46+2,46+2,44+2,44+2,44+2,47+2,46+2,46+2,46+2,47+2,55+2,55+2,55+2,55+2,55+2,57+2,62+2,62+2,62+2,57+2,40,31,65,45,26,49,35,33,38,52,58,59,54,55,44,52,69,66,73,33,65,59,49,30,51,52,64,62,63,13,11,13,12,14,€648K
12395,213589,J. Muñoz,27,https://cdn.sofifa.org/players/4/19/213589.png,Chile,https://cdn.sofifa.org/flags/55.png,63,64,Audax Italiano,https://cdn.sofifa.org/teams/2/light/101097.png,€290K,€1K,1093,Right,1,2,1,Medium/ Medium,Normal,No,GK,1,"Jan 1, 2012",,2019,5'11,181lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,17,21,12,13,20,18,19,24,47,42,51,51,59,22,50,33,63,12,17,25,17,48,23,54,14,13,19,64,61,60,62,65,€413K
12400,244821,M. Ramírez,28,https://cdn.sofifa.org/players/4/19/244821.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,63,Patriotas Boyacá FC,https://cdn.sofifa.org/teams/2/light/112527.png,€375K,€1K,1756,Left,1,2,2,Medium/ Medium,Normal,No,CM,20,"Jul 17, 2018",,2021,5'8,157lbs,61+2,61+2,61+2,60+2,61+2,61+2,61+2,60+2,61+2,61+2,61+2,60+2,61+2,61+2,61+2,60+2,62+2,63+2,63+2,63+2,62+2,62+2,63+2,63+2,63+2,62+2,48,56,46,70,57,56,35,52,67,62,75,70,59,59,77,65,64,56,67,62,67,65,68,49,50,56,69,60,65,12,14,11,12,11,€506K
12407,214104,H. Gómez,26,https://cdn.sofifa.org/players/4/19/214104.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,66,Atlético Bucaramanga,https://cdn.sofifa.org/teams/2/light/112992.png,€375K,€1K,1650,Right,1,3,2,Medium/ Medium,Normal,No,RB,19,"Jan 3, 2018",,2019,5'9,168lbs,53+2,53+2,53+2,54+2,52+2,52+2,52+2,54+2,51+2,51+2,51+2,54+2,53+2,53+2,53+2,54+2,61+2,58+2,58+2,58+2,61+2,62+2,61+2,61+2,61+2,62+2,59,47,52,58,38,53,54,40,51,54,63,65,72,59,71,57,71,72,65,50,57,60,47,34,49,56,58,67,67,8,10,13,16,13,€534K
12416,244570,O. León,18,https://cdn.sofifa.org/players/4/19/244570.png,Mexico,https://cdn.sofifa.org/flags/83.png,63,76,Club América,https://cdn.sofifa.org/teams/2/light/1879.png,€575K,€4K,1458,Right,1,3,2,Medium/ Medium,Normal,No,CB,28,"Jul 1, 2018",,2021,6'2,194lbs,46+2,46+2,46+2,45+2,44+2,44+2,44+2,45+2,44+2,44+2,44+2,47+2,47+2,47+2,47+2,47+2,56+2,56+2,56+2,56+2,56+2,58+2,61+2,61+2,61+2,58+2,37,31,61,52,36,44,38,37,50,56,68,70,38,51,41,44,67,62,80,40,48,59,26,28,44,46,58,65,66,13,13,7,14,14,€1.3M
12421,244571,D. Zamora,20,https://cdn.sofifa.org/players/4/19/244571.png,Mexico,https://cdn.sofifa.org/flags/83.png,63,76,Club América,https://cdn.sofifa.org/teams/2/light/1879.png,€625K,€7K,1517,Right,1,3,2,Medium/ Medium,Lean,No,CB,34,"Jul 1, 2018",,2021,6'1,172lbs,47+2,47+2,47+2,48+2,47+2,47+2,47+2,48+2,47+2,47+2,47+2,50+2,50+2,50+2,50+2,50+2,57+2,57+2,57+2,57+2,57+2,59+2,61+2,61+2,61+2,59+2,38,23,61,56,39,54,37,41,54,57,70,71,57,51,54,48,71,59,70,36,51,61,33,31,47,44,60,66,65,12,10,11,11,12,€1.5M
12429,244829,M. Collao,20,https://cdn.sofifa.org/players/4/19/244829.png,Chile,https://cdn.sofifa.org/flags/55.png,63,77,CD Antofagasta,https://cdn.sofifa.org/teams/2/light/112533.png,€800K,€1K,1574,Right,1,4,2,High/ Low,Lean,No,CAM,15,"Jul 23, 2018",,2021,5'8,148lbs,55+2,55+2,55+2,61+2,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,59+2,59+2,59+2,61+2,51+2,49+2,49+2,49+2,51+2,49+2,40+2,40+2,40+2,49+2,59,58,37,71,49,62,57,71,62,62,60,71,71,44,71,57,44,67,36,59,37,29,61,61,57,66,32,42,39,9,7,9,13,10,€1.6M
12434,240222,C. Díaz,22,https://cdn.sofifa.org/players/4/19/240222.png,Chile,https://cdn.sofifa.org/flags/55.png,63,72,Curicó Unido,https://cdn.sofifa.org/teams/2/light/112655.png,€475K,€1K,1616,Right,1,3,2,High/ Medium,Lean,No,RB,22,"Jun 1, 2017",,2018,5'11,146lbs,52+2,52+2,52+2,56+2,55+2,55+2,55+2,56+2,55+2,55+2,55+2,58+2,56+2,56+2,56+2,58+2,62+2,59+2,59+2,59+2,62+2,61+2,57+2,57+2,57+2,61+2,61,38,28,61,31,49,52,49,49,62,71,72,72,57,65,57,57,76,65,51,58,61,61,45,45,49,60,63,59,6,14,9,6,6,€736K
12445,244833,C. Zamudio,20,https://cdn.sofifa.org/players/4/19/244833.png,Mexico,https://cdn.sofifa.org/flags/83.png,63,70,Monarcas Morelia,https://cdn.sofifa.org/teams/2/light/1028.png,€525K,€2K,1649,Right,1,3,3,Medium/ Medium,Normal,No,ST,29,"Jul 1, 2018",,2021,5'8,161lbs,62+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,61+2,57+2,57+2,57+2,61+2,51+2,49+2,49+2,49+2,51+2,50+2,46+2,46+2,46+2,50+2,52,62,65,63,50,67,54,58,59,66,71,69,75,49,77,65,61,55,50,60,32,33,61,57,60,58,58,35,33,6,8,14,12,12,€998K
12453,214372,W. Díaz,40,https://cdn.sofifa.org/players/4/19/214372.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,63,Jaguares de Córdoba,https://cdn.sofifa.org/teams/2/light/112903.png,€0,€1K,1329,Right,1,3,2,Low/ Medium,Stocky,No,LCB,18,"Jan 10, 2016",,2023,5'10,168lbs,39+2,39+2,39+2,38+2,36+2,36+2,36+2,38+2,37+2,37+2,37+2,39+2,39+2,39+2,39+2,39+2,49+2,52+2,52+2,52+2,49+2,51+2,62+2,62+2,62+2,51+2,56,19,71,47,24,38,27,23,32,45,32,33,52,56,67,40,83,31,72,17,72,57,30,29,35,55,71,61,53,9,13,12,13,9,
12456,239461,J. Castillo,23,https://cdn.sofifa.org/players/4/19/239461.png,Mexico,https://cdn.sofifa.org/flags/83.png,63,69,U.N.A.M.,https://cdn.sofifa.org/teams/2/light/1881.png,€375K,€3K,949,Right,1,2,1,Medium/ Medium,Normal,No,GK,24,"Jun 1, 2017",,2021,6'2,183lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,14,28,9,7,10,11,21,11,24,15,65,61,31,20,73,27,62,8,24,13,4,23,16,43,20,11,12,63,62,65,60,63,€713K
12470,210026,C. Calvo,25,https://cdn.sofifa.org/players/4/19/210026.png,Mexico,https://cdn.sofifa.org/flags/83.png,63,66,Deportivo Toluca,https://cdn.sofifa.org/teams/2/light/1882.png,€400K,€4K,1517,Left,1,2,2,Medium/ Low,Lean,No,CB,33,"Jul 27, 2018",,2022,6'5,192lbs,49+2,49+2,49+2,50+2,49+2,49+2,49+2,50+2,51+2,51+2,51+2,53+2,55+2,55+2,55+2,53+2,60+2,60+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2,53,27,64,60,44,54,41,26,57,57,53,64,53,60,31,56,32,70,80,41,56,63,31,51,61,66,55,63,63,8,8,12,13,10,€710K
12490,221807,P. Grazziani,23,https://cdn.sofifa.org/players/4/19/221807.png,Colombia,https://cdn.sofifa.org/flags/56.png,63,71,Alianza Petrolera,https://cdn.sofifa.org/teams/2/light/112579.png,€400K,€1K,1050,Right,1,3,1,Medium/ Medium,Normal,No,GK,30,"Jan 1, 2014",,2023,6'0,165lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,14,24,18,16,18,14,25,23,45,40,34,53,52,24,56,42,43,13,20,21,16,28,23,38,20,15,11,64,61,58,63,65,€620K
